phase,category,benchmark,benchmark_slug,seed,variant_id,mode,run_name,config_path,wandb_project,wandb_group,wandb_tags,run_name_suffix,config_source
1,phase1_priority,instrdialog++,instrdialogpp,123,v8_sota_5,ours,paper_instrdialogpp_v8_sota5_ours_s123_v8s5camp,configs/paper/v8_sota5_campaign/phase1/instrdialogpp__v8_sota_5__s123.yaml,lora-citb-v8-sota5-paper,phase1_priority_instrdialogpp,v8_sota5_campaign|v8_sota_5|phase1_priority|instrdialogpp|seed_123|v8_sota_5,,generated
2,ablation_single_seed,instrdialog,instrdialog,123,ours_no_bank,ours,paper_instrdialog_ours_no_bank_s123_v8s5camp,configs/paper/v8_sota5_campaign/ablation/instrdialog__ours_no_bank__s123.yaml,lora-citb-v8-sota5-paper,ablation_single_seed,v8_sota5_campaign|v8_sota_5|ablation_single_seed|instrdialog|seed_123|ours_no_bank,,generated
2,ablation_single_seed,instrdialog,instrdialog,123,ours_no_drift,ours,paper_instrdialog_ours_no_drift_s123_v8s5camp,configs/paper/v8_sota5_campaign/ablation/instrdialog__ours_no_drift__s123.yaml,lora-citb-v8-sota5-paper,ablation_single_seed,v8_sota5_campaign|v8_sota_5|ablation_single_seed|instrdialog|seed_123|ours_no_drift,,generated
2,ablation_single_seed,instrdialog,instrdialog,123,ours_no_overlap,ours,paper_instrdialog_ours_no_overlap_s123_v8s5camp,configs/paper/v8_sota5_campaign/ablation/instrdialog__ours_no_overlap__s123.yaml,lora-citb-v8-sota5-paper,ablation_single_seed,v8_sota5_campaign|v8_sota_5|ablation_single_seed|instrdialog|seed_123|ours_no_overlap,,generated
2,ablation_single_seed,instrdialog,instrdialog,123,ours_no_router,ours,paper_instrdialog_ours_no_router_s123_v8s5camp,configs/paper/v8_sota5_campaign/ablation/instrdialog__ours_no_router__s123.yaml,lora-citb-v8-sota5-paper,ablation_single_seed,v8_sota5_campaign|v8_sota_5|ablation_single_seed|instrdialog|seed_123|ours_no_router,,generated
2,ablation_single_seed,instrdialog,instrdialog,123,v8_sota_5,ours,paper_instrdialog_v8_sota5_ours_s123_v8s5camp,configs/paper/v8_sota5_campaign/ablation/instrdialog__v8_sota_5__s123.yaml,lora-citb-v8-sota5-paper,ablation_single_seed,v8_sota5_campaign|v8_sota_5|ablation_single_seed|instrdialog|seed_123|v8_sota_5,,generated
2,ablation_single_seed,instrdialog++,instrdialogpp,123,ours_no_bank,ours,paper_instrdialogpp_ours_no_bank_s123_v8s5camp,configs/paper/v8_sota5_campaign/ablation/instrdialogpp__ours_no_bank__s123.yaml,lora-citb-v8-sota5-paper,ablation_single_seed,v8_sota5_campaign|v8_sota_5|ablation_single_seed|instrdialogpp|seed_123|ours_no_bank,,generated
2,ablation_single_seed,instrdialog++,instrdialogpp,123,ours_no_drift,ours,paper_instrdialogpp_ours_no_drift_s123_v8s5camp,configs/paper/v8_sota5_campaign/ablation/instrdialogpp__ours_no_drift__s123.yaml,lora-citb-v8-sota5-paper,ablation_single_seed,v8_sota5_campaign|v8_sota_5|ablation_single_seed|instrdialogpp|seed_123|ours_no_drift,,generated
2,ablation_single_seed,instrdialog++,instrdialogpp,123,ours_no_overlap,ours,paper_instrdialogpp_ours_no_overlap_s123_v8s5camp,configs/paper/v8_sota5_campaign/ablation/instrdialogpp__ours_no_overlap__s123.yaml,lora-citb-v8-sota5-paper,ablation_single_seed,v8_sota5_campaign|v8_sota_5|ablation_single_seed|instrdialogpp|seed_123|ours_no_overlap,,generated
2,ablation_single_seed,instrdialog++,instrdialogpp,123,ours_no_router,ours,paper_instrdialogpp_ours_no_router_s123_v8s5camp,configs/paper/v8_sota5_campaign/ablation/instrdialogpp__ours_no_router__s123.yaml,lora-citb-v8-sota5-paper,ablation_single_seed,v8_sota5_campaign|v8_sota_5|ablation_single_seed|instrdialogpp|seed_123|ours_no_router,,generated
